id,value
id_0,26.2041597792
id_1,64.2646877465
id_2,18.3890850891
id_3,28.4669252523
id_4,9.67097408716
id_5,35.0469809667
id_6,42.2051358312
id_7,16.9347001684
id_8,49.1978051964
id_9,34.3378712712
id_10,38.4720552457
id_11,58.9585582785
id_12,35.2485477034
id_13,42.8566752524
id_14,27.0783591565
id_15,11.8779762124
id_16,49.7819480507
id_17,22.3563482653
id_18,16.9208291123
id_19,18.3158353982
id_20,14.0067980797
id_21,29.6148804649
id_22,39.4377403871
id_23,7.65514477522
id_24,60.8217796847
id_25,47.8895834719
id_26,26.6733345935
id_27,8.49231836291
id_28,28.9934489227
id_29,36.6884653252
id_30,19.3304108339
id_31,11.7858645817
id_32,17.1414968979
id_33,6.67736810925
id_34,16.3395831364
id_35,43.1442927362
id_36,19.3919482528
id_37,28.0421502836
id_38,11.0583730183
id_39,58.5888248999
id_40,47.0049049432
id_41,16.4526890964
id_42,54.4211126034
id_43,17.0538338607
id_44,45.2913126654
id_45,50.7173980441
id_46,58.5127375777
id_47,41.3965203571
id_48,57.6499917095
id_49,40.6258082048
id_50,28.7559124203
id_51,24.1108732851
id_52,40.825108704
id_53,25.2580619717
id_54,38.099228751
id_55,38.7131933815
id_56,23.5913403914
id_57,22.1626767883
id_58,37.1626259537
id_59,30.8113379676
id_60,13.864996087
id_61,20.7329375449
id_62,31.4412548936
id_63,55.4986536601
id_64,51.2230868246
id_65,26.1838126704
id_66,38.7994035046
id_67,51.8018846398
id_68,30.2775517962
id_69,36.3239533864
id_70,66.3108573198
id_71,55.3213607516
id_72,45.8663894425
id_73,13.8039832508
id_74,12.9203157601
id_75,36.2589713646
id_76,62.640480728
id_77,1.06305152494
id_78,42.0246752612
id_79,41.9581282845
id_80,9.03309346025
id_81,22.6125946876
id_82,6.23817015953
id_83,29.9849110562
id_84,9.50157827663
id_85,4.87548062572
id_86,16.6163094584
id_87,11.6050053874
id_88,16.5832681609
id_89,23.6775918432
id_90,36.3267953076
id_91,13.5502997721
id_92,11.6803082699
id_93,8.98281480147
id_94,38.0714506127
id_95,15.5936223874
id_96,18.1836082037
id_97,9.774905301
id_98,10.9143165926
id_99,2.42424682769
id_100,11.5556401853
id_101,17.3316336696
id_102,11.9378585665
id_103,8.83099497227
id_104,12.1368671111
id_105,38.5844434592
id_106,25.2672247296
id_107,6.78745997059
id_108,14.9880117064
id_109,14.9103731111
id_110,11.6407494877
id_111,16.1710663238
id_112,16.4366547646
id_113,26.3687499038
id_114,20.624635439
id_115,16.5271550832
id_116,7.62852331748
id_117,44.1861879671
id_118,26.5617126463
id_119,0.685134932043
id_120,0.241819159315
id_121,10.7259473242
id_122,13.4724385488
id_123,13.5258411897
id_124,7.68343953574
id_125,25.6310572463
id_126,23.2338581848
id_127,10.1614954235
id_128,20.9484449292
id_129,15.4990743223
id_130,0.902841726157
id_131,33.8915424219
id_132,14.4865104633
id_133,18.8548124108
id_134,26.6475122235
id_135,24.7006066047
id_136,8.30645053137
id_137,21.7274389727
id_138,80.4931758206
id_139,61.274771509
id_140,25.2725780936
id_141,20.222924203
id_142,25.5693145543
id_143,7.36625115086
id_144,12.3457523302
id_145,10.0550345917
id_146,18.9957492346
id_147,7.62093879814
id_148,11.8529442316
id_149,17.0282087247
id_150,49.9543654327
id_151,22.0628732185
id_152,23.9453559249
id_153,14.9493188273
id_154,13.4385580616
id_155,22.1840767399
id_156,24.1752975185
id_157,38.4705242954
id_158,1.89693473599
id_159,20.9966924718
id_160,44.0976336235
id_161,19.0933849595
id_162,63.9473651453
id_163,17.9482716759
id_164,35.2921134633
id_165,23.3647496847
id_166,22.3542910776
id_167,2.36344535235
id_168,70.7319010995
id_169,18.0112756281
id_170,16.4120130478
id_171,72.9957526396
id_172,23.58042625
id_173,1.27924824649
id_174,22.7820621648
id_175,1.34486813112
id_176,7.22514552354
id_177,18.3460247463
id_178,21.7182246492
id_179,24.9931793623
id_180,43.2600740407
id_181,33.0461651469
id_182,27.9024810558
id_183,11.86267185
id_184,8.09993102811
id_185,42.8260384302
id_186,37.3629145544
id_187,34.9270972198
id_188,15.2317642934
id_189,23.9049470542
id_190,14.2348647753
id_191,15.1072430885
id_192,31.3623037022
id_193,75.4902584337
id_194,30.6698753785
id_195,11.2914136062
id_196,63.1283349155
id_197,16.7869214379
id_198,19.9819743504
id_199,21.1123822574
id_200,128.579747816
id_201,24.512460935
id_202,58.4800575496
id_203,3.40092167012
id_204,60.2684889162
id_205,37.349843328
id_206,15.8702069776
id_207,13.6718494594
id_208,63.8298043822
id_209,12.5592690466
id_210,35.190632223
id_211,69.7486795128
id_212,18.2741701161
id_213,112.73216269
id_214,42.7958931282
id_215,77.823637275
id_216,96.2241826685
id_217,70.9851051654
id_218,25.8450921874
id_219,17.9191799417
id_220,29.4623769485
id_221,57.3765097656
id_222,26.386652719
id_223,40.3314677639
id_224,42.3336924021
id_225,9.29337532816
id_226,4.84151890432
id_227,85.0550424005
id_228,29.0588166201
id_229,1.60059665611
id_230,40.3519652848
id_231,15.7916787299
id_232,22.0721211595
id_233,8.2589811224
id_234,11.8158405476
id_235,24.6704712982
id_236,13.5459306183
id_237,2.77753521766
id_238,20.9736950328
id_239,10.6253426895
